Classifier, DataSet Name, #Training release, %Training, #Defective Training, #Defective Testing, Balancing, Feature Selection, Sensitivity, TP, FP, TN, FN, Recall, Precision, Accuracy, ROC AUC, Kappa
NaiveBayes, Bugginess classifier with balancing techniques with feature selection, 1, 2.2, 4, 50, SMOTE-sampling, true, false, 18.0, 3.0, 2880.0, 132.0, 0.12, 0.86, 95.55, 0.93, 0.2
RandomForest, Bugginess classifier with balancing techniques with feature selection, 1, 2.2, 4, 50, SMOTE-sampling, true, false, 6.0, 3.0, 2880.0, 144.0, 0.04, 0.67, 95.15, 0.63, 0.07
IBk, Bugginess classifier with balancing techniques with feature selection, 1, 2.2, 4, 50, SMOTE-sampling, true, false, 3.0, 0.0, 2883.0, 147.0, 0.02, 1.0, 95.15, 0.93, 0.04
NaiveBayes, Bugginess classifier with balancing techniques with feature selection, 2, 6.4, 43, 166, SMOTE-sampling, true, false, 105.0, 9.0, 2946.0, 393.0, 0.21, 0.92, 88.36, 0.8, 0.31
RandomForest, Bugginess classifier with balancing techniques with feature selection, 2, 6.4, 43, 166, SMOTE-sampling, true, false, 96.0, 39.0, 2916.0, 402.0, 0.19, 0.71, 87.23, 0.9, 0.26
IBk, Bugginess classifier with balancing techniques with feature selection, 2, 6.4, 43, 166, SMOTE-sampling, true, false, 183.0, 54.0, 2901.0, 315.0, 0.37, 0.77, 89.31, 0.75, 0.45
NaiveBayes, Bugginess classifier with balancing techniques with feature selection, 3, 11.3, 188, 225, SMOTE-sampling, true, false, 336.0, 66.0, 3261.0, 339.0, 0.5, 0.84, 89.88, 0.9, 0.57
RandomForest, Bugginess classifier with balancing techniques with feature selection, 3, 11.3, 188, 225, SMOTE-sampling, true, false, 153.0, 207.0, 3120.0, 522.0, 0.23, 0.43, 81.78, 0.87, 0.2
IBk, Bugginess classifier with balancing techniques with feature selection, 3, 11.3, 188, 225, SMOTE-sampling, true, false, 162.0, 171.0, 3156.0, 513.0, 0.24, 0.49, 82.91, 0.86, 0.24
NaiveBayes, Bugginess classifier with balancing techniques with feature selection, 4, 16.9, 327, 317, SMOTE-sampling, true, false, 474.0, 60.0, 3405.0, 477.0, 0.5, 0.89, 87.84, 0.95, 0.57
RandomForest, Bugginess classifier with balancing techniques with feature selection, 4, 16.9, 327, 317, SMOTE-sampling, true, false, 354.0, 72.0, 3393.0, 597.0, 0.37, 0.83, 84.85, 0.88, 0.44
IBk, Bugginess classifier with balancing techniques with feature selection, 4, 16.9, 327, 317, SMOTE-sampling, true, false, 387.0, 69.0, 3396.0, 564.0, 0.41, 0.85, 85.67, 0.92, 0.48
NaiveBayes, Bugginess classifier with balancing techniques with feature selection, 5, 23.1, 579, 318, SMOTE-sampling, true, false, 441.0, 198.0, 3495.0, 513.0, 0.46, 0.69, 84.7, 0.88, 0.47
RandomForest, Bugginess classifier with balancing techniques with feature selection, 5, 23.1, 579, 318, SMOTE-sampling, true, false, 402.0, 240.0, 3453.0, 552.0, 0.42, 0.63, 82.96, 0.88, 0.41
IBk, Bugginess classifier with balancing techniques with feature selection, 5, 23.1, 579, 318, SMOTE-sampling, true, false, 423.0, 225.0, 3468.0, 531.0, 0.44, 0.65, 83.73, 0.89, 0.43
NaiveBayes, Bugginess classifier with balancing techniques with feature selection, 6, 29.7, 897, 286, SMOTE-sampling, true, false, 378.0, 372.0, 4698.0, 480.0, 0.44, 0.5, 85.63, 0.9, 0.39
RandomForest, Bugginess classifier with balancing techniques with feature selection, 6, 29.7, 897, 286, SMOTE-sampling, true, false, 501.0, 510.0, 4560.0, 357.0, 0.58, 0.5, 85.37, 0.89, 0.45
IBk, Bugginess classifier with balancing techniques with feature selection, 6, 29.7, 897, 286, SMOTE-sampling, true, false, 495.0, 580.0, 4490.0, 363.0, 0.58, 0.46, 84.09, 0.85, 0.42
